wording_id,perm,qidx,correct
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",38,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",39,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",40,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",41,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",42,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",43,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",44,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",45,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",46,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",47,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",48,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",49,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",50,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",51,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",52,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",53,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",54,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",55,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",56,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",57,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",58,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",59,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",1,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",2,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",3,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",4,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",11,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",12,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",13,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",14,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",15,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",16,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",17,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",18,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",19,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",20,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",21,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",22,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",23,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",24,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",25,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",26,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",27,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",28,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",29,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",30,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",31,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",32,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",33,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",34,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",35,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",36,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",37,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",38,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",39,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",40,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",41,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",42,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",43,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",44,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",45,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",46,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",47,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",48,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",49,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",50,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",51,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",52,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",53,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",54,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",55,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",56,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",57,0
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",58,1
62a413d0c5,"[0, 1, 2, 3, 4, 5, 6, 7]",59,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",1,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",2,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",3,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",4,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",11,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",12,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",13,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",14,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",15,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",16,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",17,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",18,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",19,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",20,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",21,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",22,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",23,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",24,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",25,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",26,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",27,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",28,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",29,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",30,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",31,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",32,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",33,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",34,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",35,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",36,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",37,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",38,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",39,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",40,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",41,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",42,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",43,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",44,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",45,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",46,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",47,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",48,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",49,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",50,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",51,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",52,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",53,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",54,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",55,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",56,1
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",57,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",58,0
1b82ece7e6,"[0, 1, 2, 3, 4, 5, 6, 7]",59,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",1,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",2,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",3,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",4,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",11,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",12,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",13,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",14,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",15,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",16,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",17,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",18,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",19,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",20,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",21,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",22,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",23,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",24,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",25,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",26,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",27,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",28,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",29,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",30,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",31,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",32,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",33,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",34,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",35,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",36,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",37,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",38,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",39,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",40,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",41,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",42,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",43,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",44,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",45,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",46,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",47,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",48,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",49,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",50,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",51,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",52,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",53,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",54,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",55,1
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",56,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",57,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",58,0
24b31d8ef0,"[0, 1, 2, 3, 4, 5, 6, 7]",59,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",1,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",2,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",3,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",4,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",11,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",12,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",13,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",14,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",15,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",16,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",17,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",18,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",19,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",20,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",21,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",22,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",23,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",24,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",25,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",26,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",27,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",28,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",29,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",30,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",31,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",32,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",33,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",34,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",35,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",36,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",37,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",38,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",39,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",40,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",41,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",42,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",43,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",44,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",45,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",46,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",47,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",48,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",49,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",50,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",51,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",52,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",53,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",54,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",55,1
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",56,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",57,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",58,0
381dcc3b1c,"[0, 1, 2, 3, 4, 5, 6, 7]",59,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",1,1
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",2,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",3,1
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",4,1
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",11,0
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",12,1
169687a39f,"[0, 1, 2, 3, 4, 5, 6, 7]",13,0
