perm,qidx,correct
"[2, 5, 7, 6, 0, 3, 1, 4]",16,0
"[2, 5, 7, 6, 0, 3, 1, 4]",17,1
"[2, 5, 7, 6, 0, 3, 1, 4]",18,1
"[2, 5, 7, 6, 0, 3, 1, 4]",19,1
"[1, 5, 7, 2, 4, 0, 6, 3]",0,0
"[1, 5, 7, 2, 4, 0, 6, 3]",1,1
"[1, 5, 7, 2, 4, 0, 6, 3]",2,1
"[1, 5, 7, 2, 4, 0, 6, 3]",3,0
"[1, 5, 7, 2, 4, 0, 6, 3]",4,1
"[1, 5, 7, 2, 4, 0, 6, 3]",5,1
"[1, 5, 7, 2, 4, 0, 6, 3]",6,1
"[1, 5, 7, 2, 4, 0, 6, 3]",7,1
"[1, 5, 7, 2, 4, 0, 6, 3]",8,1
"[1, 5, 7, 2, 4, 0, 6, 3]",9,1
"[1, 5, 7, 2, 4, 0, 6, 3]",10,0
"[1, 5, 7, 2, 4, 0, 6, 3]",11,1
"[1, 5, 7, 2, 4, 0, 6, 3]",12,1
"[1, 5, 7, 2, 4, 0, 6, 3]",13,0
"[1, 5, 7, 2, 4, 0, 6, 3]",14,0
"[1, 5, 7, 2, 4, 0, 6, 3]",15,1
"[1, 5, 7, 2, 4, 0, 6, 3]",16,1
"[1, 5, 7, 2, 4, 0, 6, 3]",17,1
"[1, 5, 7, 2, 4, 0, 6, 3]",18,1
"[1, 5, 7, 2, 4, 0, 6, 3]",19,1
"[1, 6, 2, 4, 5, 0, 7, 3]",0,0
"[1, 6, 2, 4, 5, 0, 7, 3]",1,1
"[1, 6, 2, 4, 5, 0, 7, 3]",2,1
"[1, 6, 2, 4, 5, 0, 7, 3]",3,0
"[1, 6, 2, 4, 5, 0, 7, 3]",4,1
"[1, 6, 2, 4, 5, 0, 7, 3]",5,0
"[1, 6, 2, 4, 5, 0, 7, 3]",6,1
"[1, 6, 2, 4, 5, 0, 7, 3]",7,1
"[1, 6, 2, 4, 5, 0, 7, 3]",8,1
"[1, 6, 2, 4, 5, 0, 7, 3]",9,1
"[1, 6, 2, 4, 5, 0, 7, 3]",10,1
"[1, 6, 2, 4, 5, 0, 7, 3]",11,0
"[1, 6, 2, 4, 5, 0, 7, 3]",12,0
"[1, 6, 2, 4, 5, 0, 7, 3]",13,1
"[1, 6, 2, 4, 5, 0, 7, 3]",14,1
"[1, 6, 2, 4, 5, 0, 7, 3]",15,1
"[1, 6, 2, 4, 5, 0, 7, 3]",16,0
"[1, 6, 2, 4, 5, 0, 7, 3]",17,1
"[1, 6, 2, 4, 5, 0, 7, 3]",18,1
"[1, 6, 2, 4, 5, 0, 7, 3]",19,1
"[1, 0, 2, 3, 4, 7, 6, 5]",0,0
"[1, 0, 2, 3, 4, 7, 6, 5]",1,0
"[1, 0, 2, 3, 4, 7, 6, 5]",2,1
"[1, 0, 2, 3, 4, 7, 6, 5]",3,0
"[1, 0, 2, 3, 4, 7, 6, 5]",4,1
"[1, 0, 2, 3, 4, 7, 6, 5]",5,0
"[1, 0, 2, 3, 4, 7, 6, 5]",6,0
"[1, 0, 2, 3, 4, 7, 6, 5]",7,1
"[1, 0, 2, 3, 4, 7, 6, 5]",8,1
"[1, 0, 2, 3, 4, 7, 6, 5]",9,0
"[1, 0, 2, 3, 4, 7, 6, 5]",10,1
"[1, 0, 2, 3, 4, 7, 6, 5]",11,0
"[1, 0, 2, 3, 4, 7, 6, 5]",12,1
"[1, 0, 2, 3, 4, 7, 6, 5]",13,0
"[1, 0, 2, 3, 4, 7, 6, 5]",14,1
"[1, 0, 2, 3, 4, 7, 6, 5]",15,1
"[1, 0, 2, 3, 4, 7, 6, 5]",16,1
"[1, 0, 2, 3, 4, 7, 6, 5]",17,1
"[1, 0, 2, 3, 4, 7, 6, 5]",18,1
"[1, 0, 2, 3, 4, 7, 6, 5]",19,1
"[7, 6, 5, 0, 3, 2, 1, 4]",0,0
"[7, 6, 5, 0, 3, 2, 1, 4]",1,1
"[7, 6, 5, 0, 3, 2, 1, 4]",2,1
"[7, 6, 5, 0, 3, 2, 1, 4]",3,0
"[7, 6, 5, 0, 3, 2, 1, 4]",4,1
"[7, 6, 5, 0, 3, 2, 1, 4]",5,1
"[7, 6, 5, 0, 3, 2, 1, 4]",6,1
"[7, 6, 5, 0, 3, 2, 1, 4]",7,1
"[7, 6, 5, 0, 3, 2, 1, 4]",8,1
"[7, 6, 5, 0, 3, 2, 1, 4]",9,1
"[7, 6, 5, 0, 3, 2, 1, 4]",10,1
"[7, 6, 5, 0, 3, 2, 1, 4]",11,0
"[7, 6, 5, 0, 3, 2, 1, 4]",12,1
"[7, 6, 5, 0, 3, 2, 1, 4]",13,1
"[7, 6, 5, 0, 3, 2, 1, 4]",14,1
"[7, 6, 5, 0, 3, 2, 1, 4]",15,1
"[7, 6, 5, 0, 3, 2, 1, 4]",16,0
"[7, 6, 5, 0, 3, 2, 1, 4]",17,1
"[7, 6, 5, 0, 3, 2, 1, 4]",18,1
"[7, 6, 5, 0, 3, 2, 1, 4]",19,1
"[6, 2, 0, 1, 5, 4, 7, 3]",0,0
"[6, 2, 0, 1, 5, 4, 7, 3]",1,1
"[6, 2, 0, 1, 5, 4, 7, 3]",2,1
"[6, 2, 0, 1, 5, 4, 7, 3]",3,0
"[6, 2, 0, 1, 5, 4, 7, 3]",4,1
"[6, 2, 0, 1, 5, 4, 7, 3]",5,0
"[6, 2, 0, 1, 5, 4, 7, 3]",6,1
"[6, 2, 0, 1, 5, 4, 7, 3]",7,1
"[6, 2, 0, 1, 5, 4, 7, 3]",8,0
"[6, 2, 0, 1, 5, 4, 7, 3]",9,1
"[6, 2, 0, 1, 5, 4, 7, 3]",10,0
"[6, 2, 0, 1, 5, 4, 7, 3]",11,0
"[6, 2, 0, 1, 5, 4, 7, 3]",12,1
"[6, 2, 0, 1, 5, 4, 7, 3]",13,1
"[6, 2, 0, 1, 5, 4, 7, 3]",14,1
"[6, 2, 0, 1, 5, 4, 7, 3]",15,1
"[6, 2, 0, 1, 5, 4, 7, 3]",16,0
"[6, 2, 0, 1, 5, 4, 7, 3]",17,1
"[6, 2, 0, 1, 5, 4, 7, 3]",18,1
"[6, 2, 0, 1, 5, 4, 7, 3]",19,1
