problem,perm,fitness
XOR-v4,"[4, 0, 1, 2, 3]",0.8333333333333334
XOR-v4,"[4, 0, 1, 3, 2]",0.75
XOR-v4,"[4, 0, 2, 1, 3]",0.75
XOR-v4,"[4, 0, 2, 3, 1]",0.9166666666666666
XOR-v4,"[4, 0, 3, 1, 2]",0.75
XOR-v4,"[4, 0, 3, 2, 1]",0.9166666666666666
XOR-v4,"[4, 1, 0, 2, 3]",0.9166666666666666
XOR-v4,"[4, 1, 0, 3, 2]",0.9166666666666666
XOR-v4,"[4, 1, 2, 0, 3]",0.8333333333333334
XOR-v4,"[4, 1, 2, 3, 0]",0.6666666666666666
XOR-v4,"[4, 1, 3, 0, 2]",0.6666666666666666
XOR-v4,"[4, 1, 3, 2, 0]",0.8333333333333334
XOR-v4,"[4, 2, 0, 1, 3]",0.75
XOR-v4,"[4, 2, 0, 3, 1]",0.75
XOR-v4,"[4, 2, 1, 0, 3]",0.9166666666666666
XOR-v4,"[4, 2, 1, 3, 0]",0.8333333333333334
XOR-v4,"[4, 2, 3, 0, 1]",0.9166666666666666
XOR-v4,"[4, 2, 3, 1, 0]",0.9166666666666666
XOR-v4,"[4, 3, 0, 1, 2]",0.8333333333333334
XOR-v4,"[4, 3, 0, 2, 1]",0.5833333333333334
XOR-v4,"[4, 3, 1, 0, 2]",0.75
XOR-v4,"[4, 3, 1, 2, 0]",0.9166666666666666
XOR-v4,"[4, 3, 2, 0, 1]",1.0
XOR-v4,"[4, 3, 2, 1, 0]",0.8333333333333334
Parity-v4,"[0, 1, 2, 3, 4]",0.7083333333333334
Parity-v4,"[0, 1, 2, 4, 3]",0.8333333333333334
Parity-v4,"[0, 1, 3, 2, 4]",0.8333333333333334
Parity-v4,"[0, 1, 3, 4, 2]",0.7083333333333334
Parity-v4,"[0, 1, 4, 2, 3]",0.8333333333333334
Parity-v4,"[0, 1, 4, 3, 2]",0.6666666666666666
Parity-v4,"[0, 2, 1, 3, 4]",0.7916666666666666
Parity-v4,"[0, 2, 1, 4, 3]",0.7916666666666666
Parity-v4,"[0, 2, 3, 1, 4]",0.7916666666666666
Parity-v4,"[0, 2, 3, 4, 1]",0.625
Parity-v4,"[0, 2, 4, 1, 3]",0.75
Parity-v4,"[0, 2, 4, 3, 1]",0.75
Parity-v4,"[0, 3, 1, 2, 4]",0.6666666666666666
Parity-v4,"[0, 3, 1, 4, 2]",0.6666666666666666
Parity-v4,"[0, 3, 2, 1, 4]",0.4583333333333333
Parity-v4,"[0, 3, 2, 4, 1]",0.7083333333333334
Parity-v4,"[0, 3, 4, 1, 2]",0.7083333333333334
Parity-v4,"[0, 3, 4, 2, 1]",0.75
Parity-v4,"[0, 4, 1, 2, 3]",0.6666666666666666
Parity-v4,"[0, 4, 1, 3, 2]",0.7083333333333334
Parity-v4,"[0, 4, 2, 1, 3]",0.7083333333333334
Parity-v4,"[0, 4, 2, 3, 1]",0.6666666666666666
Parity-v4,"[0, 4, 3, 1, 2]",0.875
Parity-v4,"[0, 4, 3, 2, 1]",0.7916666666666666
Parity-v4,"[1, 0, 2, 3, 4]",0.7916666666666666
Parity-v4,"[1, 0, 2, 4, 3]",0.7083333333333334
Parity-v4,"[1, 0, 3, 2, 4]",0.625
Parity-v4,"[1, 0, 3, 4, 2]",0.7083333333333334
Parity-v4,"[1, 0, 4, 2, 3]",0.8333333333333334
Parity-v4,"[1, 0, 4, 3, 2]",0.5833333333333334
Parity-v4,"[1, 2, 0, 3, 4]",0.5833333333333334
Parity-v4,"[1, 2, 0, 4, 3]",0.625
Parity-v4,"[1, 2, 3, 0, 4]",0.7083333333333334
Parity-v4,"[1, 2, 3, 4, 0]",0.75
Parity-v4,"[1, 2, 4, 0, 3]",0.6666666666666666
Parity-v4,"[1, 2, 4, 3, 0]",0.8333333333333334
Parity-v4,"[1, 3, 0, 2, 4]",0.6666666666666666
Parity-v4,"[1, 3, 0, 4, 2]",0.4583333333333333
Parity-v4,"[1, 3, 2, 0, 4]",0.8333333333333334
Parity-v4,"[1, 3, 2, 4, 0]",0.5416666666666666
Parity-v4,"[1, 3, 4, 0, 2]",0.5
Parity-v4,"[1, 3, 4, 2, 0]",0.75
Parity-v4,"[1, 4, 0, 2, 3]",0.5416666666666666
Parity-v4,"[1, 4, 0, 3, 2]",0.8333333333333334
Parity-v4,"[1, 4, 2, 0, 3]",0.6666666666666666
Parity-v4,"[1, 4, 2, 3, 0]",0.75
Parity-v4,"[1, 4, 3, 0, 2]",0.7916666666666666
Parity-v4,"[1, 4, 3, 2, 0]",0.7083333333333334
Parity-v4,"[2, 0, 1, 3, 4]",0.9583333333333334
Parity-v4,"[2, 0, 1, 4, 3]",0.6666666666666666
Parity-v4,"[2, 0, 3, 1, 4]",0.5
Parity-v4,"[2, 0, 3, 4, 1]",0.75
Parity-v4,"[2, 0, 4, 1, 3]",0.7083333333333334
Parity-v4,"[2, 0, 4, 3, 1]",0.7916666666666666
Parity-v4,"[2, 1, 0, 3, 4]",0.7916666666666666
Parity-v4,"[2, 1, 0, 4, 3]",0.8333333333333334
Parity-v4,"[2, 1, 3, 0, 4]",0.625
Parity-v4,"[2, 1, 3, 4, 0]",0.7083333333333334
Parity-v4,"[2, 1, 4, 0, 3]",0.7083333333333334
Parity-v4,"[2, 1, 4, 3, 0]",0.75
Parity-v4,"[2, 3, 0, 1, 4]",0.75
Parity-v4,"[2, 3, 0, 4, 1]",0.8333333333333334
Parity-v4,"[2, 3, 1, 0, 4]",0.7916666666666666
Parity-v4,"[2, 3, 1, 4, 0]",0.7916666666666666
Parity-v4,"[2, 3, 4, 0, 1]",0.7083333333333334
Parity-v4,"[2, 3, 4, 1, 0]",0.7916666666666666
Parity-v4,"[2, 4, 0, 1, 3]",0.7916666666666666
Parity-v4,"[2, 4, 0, 3, 1]",0.875
Parity-v4,"[2, 4, 1, 0, 3]",0.5416666666666666
Parity-v4,"[2, 4, 1, 3, 0]",0.625
Parity-v4,"[2, 4, 3, 0, 1]",0.7083333333333334
Parity-v4,"[2, 4, 3, 1, 0]",0.875
Parity-v4,"[3, 0, 1, 2, 4]",0.6666666666666666
Parity-v4,"[3, 0, 1, 4, 2]",0.625
Parity-v4,"[3, 0, 2, 1, 4]",0.6666666666666666
Parity-v4,"[3, 0, 2, 4, 1]",0.75
Parity-v4,"[3, 0, 4, 1, 2]",0.6666666666666666
Parity-v4,"[3, 0, 4, 2, 1]",0.7083333333333334
Parity-v4,"[3, 1, 0, 2, 4]",0.8333333333333334
Parity-v4,"[3, 1, 0, 4, 2]",0.6666666666666666
Parity-v4,"[3, 1, 2, 0, 4]",0.75
Parity-v4,"[3, 1, 2, 4, 0]",0.5416666666666666
Parity-v4,"[3, 1, 4, 0, 2]",0.875
Parity-v4,"[3, 1, 4, 2, 0]",0.6666666666666666
Parity-v4,"[3, 2, 0, 1, 4]",0.7916666666666666
Parity-v4,"[3, 2, 0, 4, 1]",0.7916666666666666
Parity-v4,"[3, 2, 1, 0, 4]",0.7083333333333334
Parity-v4,"[3, 2, 1, 4, 0]",0.5416666666666666
Parity-v4,"[3, 2, 4, 0, 1]",0.7083333333333334
Parity-v4,"[3, 2, 4, 1, 0]",0.6666666666666666
Parity-v4,"[3, 4, 0, 1, 2]",0.6666666666666666
Parity-v4,"[3, 4, 0, 2, 1]",0.8333333333333334
Parity-v4,"[3, 4, 1, 0, 2]",0.8333333333333334
Parity-v4,"[3, 4, 1, 2, 0]",0.75
Parity-v4,"[3, 4, 2, 0, 1]",0.6666666666666666
Parity-v4,"[3, 4, 2, 1, 0]",0.7916666666666666
Parity-v4,"[4, 0, 1, 2, 3]",0.5833333333333334
Parity-v4,"[4, 0, 1, 3, 2]",0.7083333333333334
Parity-v4,"[4, 0, 2, 1, 3]",0.6666666666666666
Parity-v4,"[4, 0, 2, 3, 1]",0.7916666666666666
Parity-v4,"[4, 0, 3, 1, 2]",0.9166666666666666
Parity-v4,"[4, 0, 3, 2, 1]",0.75
Parity-v4,"[4, 1, 0, 2, 3]",0.9583333333333334
Parity-v4,"[4, 1, 0, 3, 2]",0.7083333333333334
Parity-v4,"[4, 1, 2, 0, 3]",0.7083333333333334
Parity-v4,"[4, 1, 2, 3, 0]",0.6666666666666666
Parity-v4,"[4, 1, 3, 0, 2]",0.7916666666666666
Parity-v4,"[4, 1, 3, 2, 0]",0.7916666666666666
Parity-v4,"[4, 2, 0, 1, 3]",0.7916666666666666
Parity-v4,"[4, 2, 0, 3, 1]",0.6666666666666666
Parity-v4,"[4, 2, 1, 0, 3]",0.75
Parity-v4,"[4, 2, 1, 3, 0]",0.625
Parity-v4,"[4, 2, 3, 0, 1]",0.7083333333333334
Parity-v4,"[4, 2, 3, 1, 0]",0.8333333333333334
Parity-v4,"[4, 3, 0, 1, 2]",0.75
Parity-v4,"[4, 3, 0, 2, 1]",0.75
Parity-v4,"[4, 3, 1, 0, 2]",0.625
Parity-v4,"[4, 3, 1, 2, 0]",0.6666666666666666
Parity-v4,"[4, 3, 2, 0, 1]",0.75
Parity-v4,"[4, 3, 2, 1, 0]",0.5416666666666666
